,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
257,116.01,0.002,-0.1,01100000_00000010,3.287468194961548,_M_00002,146
258,116.01,0.006,0.0,01100000_00110010,3.304086208343506,_M_00002,146
259,115.99,0.006,0.0,01100000_00010010,3.3208656311035156,_M_00002,146
260,116.01,0.004,0.0,01100000_00010010,3.3375375270843506,_M_00002,146
261,116.01,0.004,0.3,01100000_00010010,3.354182481765747,_M_00002,146
262,115.99,0.006,0.0,01100000_00100010,3.3707685470581055,_M_00002,146
263,116.08,0.004,0.1,01100000_00110010,3.3873984813690186,_M_00002,146
264,116.01,0.004,0.0,01100000_00000010,3.404266595840454,_M_00002,146
265,115.99,0.004,0.0,01100000_00000010,3.4208624362945557,_M_00002,146
266,116.01,0.002,0.0,01100000_00000010,3.4374475479125977,_M_00002,146
267,116.03,0.004,-0.1,01100000_00100010,3.4542453289031982,_M_00002,146
268,115.99,0.004,0.1,01100000_00010010,3.470853328704834,_M_00002,146
269,115.99,0.004,-0.2,01100000_00000010,3.4875240325927734,_M_00002,146
270,116.05,0.006,0.2,01100000_00110010,3.5042014122009277,_M_00002,146
271,115.99,0.004,0.0,01100000_00000010,3.520738124847412,_M_00002,146
272,115.99,0.004,0.0,01100000_00110010,3.5375187397003174,_M_00002,146
273,116.08,0.004,0.0,01100000_00010010,3.554208278656006,_M_00002,146
274,115.99,0.004,0.0,01100000_00010010,3.5708391666412354,_M_00002,146
275,116.01,0.004,-0.2,01100000_00100010,3.5874578952789307,_M_00002,146
276,115.99,0.004,-0.1,01100000_00100010,3.6040544509887695,_M_00002,146
277,116.08,0.006,-0.2,01100000_00000010,3.6208584308624268,_M_00002,146
278,116.01,0.006,0.4,01100000_00110010,3.6375136375427246,_M_00002,146
279,115.99,0.004,0.2,01100000_00010010,3.654130697250366,_M_00002,146
280,115.99,0.004,-0.2,01100000_00000010,3.6707406044006348,_M_00002,146
281,116.01,0.004,0.1,01100000_00110010,3.6875314712524414,_M_00002,146
282,116.01,0.002,0.0,01100000_00100010,3.7042336463928223,_M_00002,146
283,116.07,0.004,0.1,01100000_00010010,3.720839023590088,_M_00002,146
284,115.99,0.004,0.3,01100000_00110010,3.7374446392059326,_M_00002,146
285,116.01,0.004,0.2,01100000_00110010,3.754049062728882,_M_00002,146
286,115.97,0.004,0.0,01100000_00100010,3.7708466053009033,_M_00002,146
287,116.01,0.006,0.2,01100000_00010010,3.7875235080718994,_M_00002,146
288,116.03,0.002,0.2,01100000_00010010,3.804123878479004,_M_00002,146
289,115.99,0.004,0.1,01100000_00010010,3.8207287788391113,_M_00002,146
290,115.99,0.004,0.1,01100000_00110010,3.8375139236450195,_M_00002,146
291,116.03,0.004,-0.2,01100000_00100010,3.854182004928589,_M_00002,146
292,116.07,0.004,0.0,01100000_00100010,3.8708279132843018,_M_00002,146
293,115.99,0.002,-0.2,01100000_00100010,3.8874270915985107,_M_00002,146
294,116.01,0.004,0.1,01100000_00010010,3.9040422439575195,_M_00002,146
295,116.07,0.004,0.0,01100000_00010010,3.9208459854125977,_M_00002,146
296,115.99,0.004,0.3,01100000_00010010,3.9375178813934326,_M_00002,146
